Part number,Manufacturer,Alternative,Library Path,Library Ref,Footprint Path,Footprint Ref,Package,Voltage,Current,Resistance,Tmin,Tmax,Description,ComponentLink1Description,ComponentLink1URL,gost BOM,Component Note,Note
KLS7-TS5401-1.35-250-T,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB-BUTTONS -KLS7 TS5401.PcbLib,BTN KLS7-TS5401,"SMD 3,5x4,6x1,4mm",12V,50mA,100mOhm,-30,70,SMD tactile switch,Datasheet,https://static.chipdip.ru/lib/465/DOC002465453.pdf,KLS7-TS5401-1.35-250-T KLS Electronic,,
FSMSM (1437566-3),TE Connectivity,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - TE FSMSMTR.PCBLIB,TE FSMSMTR,FSMSM,12V,50mA,100mOhm,-40,85,"SMD tactile switch",Datasheet,https://static.chipdip.ru/lib/681/DOC011681662.pdf,1437566-3 (FSMSM) TE Connectivity,,
KLS7-TS6604-5.0-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6604-5.0-180.PcbLib,KLS7-TS6604-5.0-180,SMD 6x6x5mm,12V,50mA,50mOhm,-20,70,SMD tactile switch,Datasheet,https://static.chipdip.ru/lib/551/DOC001551970.pdf,KLS7-TS6604-5.0-180 KLS Electronic,,
FSM14JH (2-1825910-7),TE Connectivity,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - 2-1825910-7 (FSM14JH).PcbLib,2-1825910-7 (FSM14JH),TH 6x6x13mm,12V,50mA,100mOhm,-30,85,SMD tactile switch,Datasheet,https://static.chipdip.ru/lib/398/DOC031398382.pdf,2-1825910-7 (FSM14JH) TE Connectivity ,,
KLS7-TS6601-4.3-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-4.3-180.PcbLib,KLS7-TS6601-4.3-180,TH 6x6x4.3mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-4.3-180 KLS Electronic,,
KLS7-TS6601-5.0-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-5.0-180.PcbLib,KLS7-TS6601-5.0-180,TH 6x6x5mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-5.0-180 KLS Electronic,,
KLS7-TS6601-7.0-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-7.0-180.PcbLib,KLS7-TS6601-7.0-180,TH 6x6x7mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-7.0-180 KLS Electronic,,
KLS7-TS6601-7.3-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-7.3-180.PcbLib,KLS7-TS6601-7.3-180,TH 6x6x7.3mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-7.3-180 KLS Electronic,,
KLS7-TS6601-7.5-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-7.5-180.PcbLib,KLS7-TS6601-7.5-180,TH 6x6x7.5mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-7.5-180 KLS Electronic,,
KLS7-TS6601-8.0-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-8.0-180.PcbLib,KLS7-TS6601-8.0-180,TH 6x6x8mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-8.0-180 KLS Electronic,,
KLS7-TS6601-9.5-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-9.5-180.PcbLib,KLS7-TS6601-9.5-180,TH 6x6x9.5mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-9.5-180 KLS Electronic,,
KLS7-TS6601-11-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-11-180.PcbLib,KLS7-TS6601-11-180,TH 6x6x11mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-11-180 KLS Electronic,,
KLS7-TS6601-12-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-12-180.PcbLib,KLS7-TS6601-12-180,TH 6x6x12mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-12-180 KLS Electronic,,
KLS7-TS6601-13-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-13-180.PcbLib,KLS7-TS6601-13-180,TH 6x6x13mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-13-180 KLS Electronic,,
KLS7-TS6601-15-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-15-180.PcbLib,KLS7-TS6601-15-180,TH 6x6x15mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-15-180 KLS Electronic,,
KLS7-TS6601-17-180,KLS electronic,,SPST_no_lock.SchLib,SPST_no_lock,PCB - BUTTONS - KLS7-TS6601-17-180.PcbLib,KLS7-TS6601-17-180,TH 6x6x17mm,12V,50mA,100mOhm,-20,70,SMD tactile switch,Datasheet,https://img.klsele.com/admin/product_upload/20250826181939L-KLS7-TS6601.pdf,KLS7-TS6601-17-180 KLS Electronic,,
